select iso, name_en,area_pct,name,wikidata,imposmid2shortid(id) as osm_id from osm_admin2_continent_all order by iso ;
  iso   |                   name_en                    |     area_pct      |                               name                                | wikidata  |  osm_id  
--------+----------------------------------------------+-------------------+-------------------------------------------------------------------+-----------+----------
 ao     | Angola                                       |                 1 | Angola                                                            | Q916      | r195267
 ao-bgo |                                              |                 1 | Bengo                                                             | Q191299   | r1802539
 ao-bgu |                                              |                 1 | Benguela                                                          | Q212786   | r1802540
 ao-bie |                                              |                 1 | Bié                                                               | Q213977   | r1802541
 ao-cab |                                              |                 1 | Cabinda                                                           | Q168787   | r422607
 ao-ccu |                                              |                 1 | Cuando Cubango                                                    | Q215268   | r568485
 ao-cnn |                                              |                 1 | Cunene                                                            | Q216987   | r422606
 ao-cno |                                              |                 1 | Cuanza Norte                                                      | Q216834   | r1802542
 ao-cus |                                              |                 1 | Cuanza Sul                                                        | Q216998   | r1802543
 ao-hua |                                              |                 1 | Huambo                                                            | Q218848   | r1802544
 ao-hui |                                              |                 1 | Huíla                                                             | Q214572   | r1802545
 ao-lno |                                              |                 1 | Lunda Norte                                                       | Q214221   | r1802547
 ao-lsu |                                              |                 1 | Lunda Sul                                                         | Q219648   | r1802548
 ao-lua |                                              |                 1 | Luanda                                                            | Q190066   | r1802546
 ao-mal |                                              |                 1 | Malanje                                                           | Q219072   | r422660
 ao-mox |                                              |                 1 | Moxico                                                            | Q173988   | r1802549
 ao-nam | Namibe                                       |                 1 | Namibe                                                            | Q216819   | r1802550
 ao-uig |                                              |                 1 | Uíge                                                              | Q216972   | r422659
 ao-zai |                                              |                 1 | Zaire                                                             | Q196674   | r422608
 bf     | Burkina Faso                                 |                 1 | Burkina Faso                                                      | Q965      | r192783
 bf-01  | Boucle du Mouhoun                            |                 1 | Boucle du Mouhoun                                                 | Q527093   | r2674448
 bf-02  | Waterfalls                                   |                 1 | Cascades                                                          | Q850043   | r2745987
 bf-03  | Centre                                       |                 1 | Centre                                                            | Q515655   | r2746031
 bf-04  | Central-East                                 |                 1 | Centre-Est                                                        | Q543006   | r2746016
 bf-05  | Central-North                                |                 1 | Centre-Nord                                                       | Q850064   | r2746040
 bf-06  | Central-West                                 |                 1 | Centre-Ouest                                                      | Q850075   | r2813987
 bf-07  | Central-South                                |                 1 | Centre-Sud                                                        | Q853405   | r2746024
 bf-08  | East                                         |                 1 | Est                                                               | Q850088   | r1143562
 bf-09  | Upper-Basins                                 |                 1 | Hauts-Bassins                                                     | Q845303   | r2674447
 bf-10  | North                                        |                 1 | Nord                                                              | Q502320   | r1159881
 bf-11  | Central-Plateau                              |                 1 | Plateau-Central                                                   | Q862606   | r2746035
 bf-12  | Sahel                                        |                 1 | Sahel                                                             | Q665514   | r1159873
 bf-13  | Southwest                                    |                 1 | Sud-Ouest                                                         | Q429149   | r2745992
 bf-bal |                                              |                 1 | Balé                                                              | Q805913   | r2828093
 bf-bam |                                              |                 1 | Bam                                                               | Q620710   | r2828631
 bf-ban |                                              |                 1 | Banwa                                                             | Q674664   | r2828094
 bf-baz |                                              |                 1 | Bazèga                                                            | Q619764   | r2868361
 bf-bgr |                                              |                 1 | Bougouriba                                                        | Q676641   | r2916226
 bf-blg |                                              |                 1 | Boulgou                                                           | Q895097   | r2828160
 bf-blk |                                              |                 1 | Boulkiemdé                                                        | Q895102   | r2828693
 bf-com |                                              |                 1 | Comoé                                                             | Q1074496  | r2828137
 bf-gan |                                              |                 1 | Ganzourgou                                                        | Q182889   | r2916023
 bf-gna |                                              |                 1 | Gnagna                                                            | Q1074144  | r2914764
 bf-gou |                                              |                 1 | Gourma                                                            | Q432317   | r2914765
 bf-hou |                                              |                 1 | Houet                                                             | Q1074161  | r2914808
 bf-iob |                                              |                 1 | Ioba                                                              | Q1074154  | r2916227
 bf-kad |                                              |                 1 | Kadiogo                                                           | Q1074530  | r2828095
 bf-ken |                                              |                 1 | Kénédougou                                                        | Q1150901  | r2914809
 bf-kmd |                                              |                 1 | Komondjari                                                        | Q1074479  | r2914766
 bf-kmp |                                              |                 1 | Kompienga                                                         | Q1142059  | r2914767
 bf-kop |                                              |                 1 | Koulpélogo                                                        | Q934923   | r2828161
 bf-kos |                                              |                 1 | Kossi                                                             | Q1074485  | r2828096
 bf-kot |                                              |                 1 | Kouritenga                                                        | Q1141767  | r2828162
 bf-kow |                                              |                 1 | Kourwéogo                                                         | Q661376   | r2916024
 bf-ler |                                              |                 1 | Léraba                                                            | Q977607   | r2828138
 bf-lor |                                              |                 1 | Loroum                                                            | Q1142054  | r2915653
 bf-mou |                                              |                 1 | Mouhoun                                                           | Q1142050  | r2828097
 bf-nam |                                              |                 1 | Namentenga                                                        | Q1142044  | r2828632
 bf-nao |                                              |                 1 | Nahouri                                                           | Q1142003  | r2868362
 bf-nay |                                              |                 1 | Nayala                                                            | Q1141776  | r2828098
 bf-nou |                                              |                 1 | Noumbiel                                                          | Q646647   | r2916228
 bf-oub |                                              |                 1 | Oubritenga                                                        | Q1142026  | r2916025
 bf-oud |                                              |                 1 | Oudalan                                                           | Q514173   | r2916144
 bf-pas |                                              |                 1 | Passoré                                                           | Q1142008  | r2915654
 bf-pon |                                              |                 1 | Poni                                                              | Q953657   | r2916229
 bf-sen |                                              |                 1 | Séno                                                              | Q1061214  | r2916146
 bf-sis |                                              |                 1 | Sissili                                                           | Q964281   | r2828695
 bf-smt |                                              |                 1 | Sanmatenga                                                        | Q1142039  | r2828633
 bf-sng |                                              |                 1 | Sanguié                                                           | Q1142014  | r2828694
 bf-som |                                              |                 1 | Soum                                                              | Q385973   | r2916145
 bf-sor |                                              |                 1 | Sourou                                                            | Q558703   | r2828099
 bf-tap |                                              |                 1 | Tapoa                                                             | Q621983   | r2914768
 bf-tui |                                              |                 1 | Tuy                                                               | Q627844   | r2914810
 bf-yag |                                              |                 1 | Yagha                                                             | Q1074466  | r2916147
 bf-yat |                                              |                 1 | Yatenga                                                           | Q1074521  | r2915655
 bf-zir |                                              |                 1 | Ziro                                                              | Q206019   | r2828696
 bf-zon |                                              |                 1 | Zondoma                                                           | Q219859   | r2915656
 bf-zou |                                              |                 1 | Zoundwéogo                                                        | Q227059   | r2868363
 bi     | Burundi                                      |                 1 | Burundi                                                           | Q967      | r195269
 bi-bb  |                                              |                 1 | Bubanza                                                           | Q460538   | r1700314
 bi-bl  |                                              |                 1 | Bujumbura Rural                                                   | Q645043   | r1695013
