select iso, name_en,area_pct,name,wikidata,imposmid2shortid(id) as osm_id from osm_admin2_continent_all order by iso ;
  iso   |                 name_en                 |     area_pct      |                             name                              | wikidata  |  osm_id   
--------+-----------------------------------------+-------------------+---------------------------------------------------------------+-----------+-----------
 ae     | United Arab Emirates                    |                 1 | الإمارات العربية المتحدة                                      | Q878      | r307763
 ae-aj  | Ajman                                   |                 1 | عجمان                                                         | Q159477   | r3766482
 ae-az  | Abu Dhabi                               |                 1 | أبو ظبي                                                       | Q187712   | r3766481
 ae-du  | Dubai                                   |                 1 | دبي‎                                                          | Q613      | r3766483
 ae-fu  | Fujairah                                |                 1 | فجيرة                                                         | Q4091     | r3766484
 ae-rk  | Ras al-Khaimah                          |                 1 | ‏رأس الخيمة‎                                                  | Q170024   | r3766485
 ae-sh  | Sharjah                                 |                 1 | الشارقة                                                       | Q188810   | r3766486
 ae-uq  | Umm al-Quwain                           |                 1 | ‏أم القيوين‎                                                  | Q175021   | r3766487
 af     | Afghanistan                             |                 1 | افغانستان                                                     | Q889      | r303427
 af-bal | Balkh                                   |                 1 | بلخ                                                           | Q121104   | r1674795
 af-bam | Bamyan                                  |                 1 | بامیان                                                        | Q171382   | r1674849
 af-bdg | Badghis                                 |                 1 | بادغیس                                                        | Q172052   | r1674811
 af-bds | Badakhshan                              |                 1 | ولایت بدخشان                                                  | Q165376   | r1674535
 af-bgl | Baghlan                                 |                 1 | بغلان                                                         | Q170309   | r1674785
 af-day | Daykundi                                |                 1 | دایکندی                                                       | Q181220   | r1674833
 af-fra | Farah                                   |                 1 | فراه                                                          | Q180330   | r1674802
 af-fyb | Faryab                                  |                 1 | فاریاب                                                        | Q173830   | r1674814
 af-gha | Ghazni                                  |                 1 | غزني                                                          | Q180415   | r1675048
 af-gho | Ghor                                    |                 1 | غور                                                           | Q186392   | r1674816
 af-hel | Helmand                                 |                 1 | هلمند                                                         | Q173821   | r1674573
 af-her | Herat                                   |                 1 | هرات                                                          | Q182844   | r1674803
 af-jow | Jowzjan                                 |                 1 | ولایت جوزجان                                                  | Q183036   | r1674800
 af-kab | Kabul                                   |                 1 | كابل                                                          | Q188933   | r1674876
 af-kan | Kandahar                                |                 1 | کندهار                                                        | Q173808   | r1674567
 af-kap | Kapisa                                  |                 1 | کاپیس                                                         | Q173816   | r1674767
 af-kdz | Kunduz                                  |                 1 | کندز                                                          | Q186418   | r1674564
 af-kho | Khost                                   |                 1 | خوست                                                          | Q185752   | r1674878
 af-knr | Kunar                                   |                 1 | کونړ                                                          | Q188147   | r1674607
 af-lag | Laghman                                 |                 1 | لغمان                                                         | Q185442   | r1674766
 af-log | Logar                                   |                 1 | لوګر                                                          | Q6667298  | r1674874
 af-nan | Nangarhar                               |                 1 | ننگرهار                                                       | Q178471   | r1674770
 af-nim | Nimruz                                  |                 1 | نیمروز                                                        | Q183021   | r1674664
 af-nur | Nuristan                                |                 1 | نورستان                                                       | Q167485   | r1674544
 af-pan | Panjshir                                |                 1 | پنجشیر                                                        | Q181235   | r1675032
 af-par | Parwan                                  |                 1 | پروان                                                         | Q188157   | r1674782
 af-pia | Paktia                                  |                 1 | پکتيا                                                         | Q182493   | r1674882
 af-pka | Paktika                                 |                 1 | پکتیکا                                                        | Q185575   | r1675047
 af-sam | Samangan                                |                 1 | سمنگان‎                                                       | Q183015   | r1674791
 af-sar | Sar-e Pol                               |                 1 | سرپل                                                          | Q182487   | r1674994
 af-tak | Takhar                                  |                 1 | تخار‎‎                                                        | Q186395   | r1674541
 af-uru | Urōzgān                                 |                 1 | روزگان                                                        | Q183028   | r1674993
 af-war | Maidan Wardak                           |                 1 | ميدان وردگ                                                    | Q183056   | r1759757
 af-zab | Zabul                                   |                 1 | زابل                                                          | Q139126   | r1674841
 am     | Armenia                                 |                 1 | Հայաստան                                                      | Q399      | r364066
 am-ag  | Aragatsotn Province                     |                 1 | Արագածոտնի մարզ                                               | Q17915    | r3917110
 am-ar  | Ararat Province                         |                 1 | Արարատի մարզ                                                  | Q199880   | r364083
 am-av  | Armavir Province                        |                 1 | Արմավիրի մարզ                                                 | Q201147   | r364086
 am-er  | Yerevan                                 |                 1 | Երևան                                                         | Q1953     | r364087
 am-gr  | Gegharkunik Province                    |                 1 | Գեղարքունիքի մարզ                                             | Q199905   | r364080
 am-kt  | Kotayk Province                         |                 1 | Կոտայքի մարզ                                                  | Q4511     | r364084
 am-lo  | Lori Province                           |                 1 | Լոռու մարզ                                                    | Q200350   | r364078
 am-sh  | Shirak Province                         |                 1 | Շիրակի մարզ                                                   | Q201063   | r364077
 am-su  | Syunik Province                         |                 1 | Սյունիքի մարզ                                                 | Q2523428  | r364082
 am-tv  | Tavush Province                         |                 1 | Տավուշի մարզ                                                  | Q201140   | r364079
 am-vd  | Vayots Dzor Province                    |                 1 | Վայոց ձորի մարզ                                               | Q200124   | r364081
 az     | Azerbaijan                              |                 1 | Azərbaycan                                                    | Q227      | r364110
 az-abs | Absheron District                       |                 1 | Abşeron rayonu                                                | Q179538   | r3764533
 az-aga | Agstafa                                 |                 1 | Ağstafa rayonu                                                | Q275744   | r3764539
 az-agc | Aghjabadi District                      |                 1 | Ağcabədi rayonu                                               | Q330818   | r3764536
