select iso, name_en,area_pct,name,wikidata,imposmid2shortid(id) as osm_id from osm_admin2_continent_all order by iso ;
  iso   |          name_en          |     area_pct      |                               name                               | wikidata |   osm_id   
--------+---------------------------+-------------------+------------------------------------------------------------------+----------+------------
 bm     | Bermuda                   |                 1 | Bermuda                                                          | Q23635   | r1993208
 ca     | Canada                    |                 1 | Canada                                                           | Q16      | r1428125
 ca-ab  | Alberta                   |                 1 | Alberta                                                          | Q1951    | r391186
 ca-bc  | British Columbia          |                 1 | British Columbia                                                 | Q1974    | r390867
 ca-mb  | Manitoba                  |                 1 | Manitoba                                                         | Q1948    | r390841
 ca-nb  | New Brunswick             |                 1 | New Brunswick                                                    | Q1965    | r68942
 ca-nl  | Newfoundland and Labrador |                 1 | Newfoundland and Labrador                                        | Q2003    | r391196
 ca-ns  | Nova Scotia               |                 1 | Nova Scotia                                                      | Q1952    | r390558
 ca-nt  | Northwest Territories     |                 1 | Northwest Territories                                            | Q2007    | r391220
 ca-nu  | Nunavut                   |                 1 | Nunavut                                                          | Q2023    | r390840
 ca-on  | Ontario                   |                 1 | Ontario                                                          | Q1904    | r68841
 ca-pe  | Prince Edward Island      |                 1 | Prince Edward Island                                             | Q1979    | r391115
 ca-qc  | Quebec                    |                 1 | Québec                                                           | Q176     | r61549
 ca-sk  | Saskatchewan              |                 1 | Saskatchewan                                                     | Q1989    | r391178
 ca-yt  | Yukon                     |                 1 | Yukon                                                            | Q2009    | r391455
 fr-pm  | Saint Pierre and Miquelon |                 1 | Saint-Pierre-et-Miquelon                                         | Q34617   | r3406826
 gl     | Greenland                 |                 1 | Kalaallit Nunaat                                                 | Q223     | r2184073
 mx     | Mexico                    | 0.998725707939839 | México                                                           | Q96      | r114686
 mx-agu | Aguascalientes            |                 1 | Aguascalientes                                                   | Q79952   | r2610002
 mx-bcn | Baja California           |                 1 | Baja California                                                  | Q58731   | r2589601
 mx-bcs |                           |                 1 | Baja California Sur                                              | Q46508   | r2589611
 mx-cam | Campeche                  |                 1 | Campeche                                                         | Q80908   | r2568834
 mx-chh | Chihuahua                 |                 1 | Chihuahua                                                        | Q655     | r1673425
 mx-chp | Chiapas                   | 0.999882118186806 | Chiapas                                                          | Q60123   | r2556679
 mx-cmx | Mexico City               |                 1 | Ciudad de México                                                 | Q1489    | r1376330
 mx-coa | Coahuila                  |                 1 | Coahuila de Zaragoza                                             | Q53079   | r1661524
 mx-col | Colima                    | 0.996668080698455 | Colima                                                           | Q61309   | r2340912
 mx-dur | Durango                   |                 1 | Durango                                                          | Q79918   | r2399740
 mx-gro | Guerrero                  |                 1 | Guerrero                                                         | Q60158   | r2439316
 mx-gua | Guanajuato                |                 1 | Guanajuato                                                       | Q46475   | r2340909
 mx-hid | Hidalgo                   |                 1 | Hidalgo                                                          | Q80903   | r1376490
 mx-jal | Jalisco                   |                 1 | Jalisco                                                          | Q13160   | r2340910
 mx-mex | Mexico                    |                 1 | Estado de México                                                 | Q82112   | r1376489
 mx-mic | Michoacán                 |                 1 | Michoacán de Ocampo                                              | Q79861   | r2340636
