select iso, name_en,area_pct,name,wikidata,imposmid2shortid(id) as osm_id from osm_admin2_continent_all order by iso ;
  iso   |                     name_en                     |     area_pct     |                               name                               | wikidata  |   osm_id   
--------+-------------------------------------------------+------------------+------------------------------------------------------------------+-----------+------------
 ar     | Argentina                                       |                1 | Argentina                                                        | Q414      | r286393
 ar-a   |                                                 |                1 | Salta                                                            | Q44803    | r2405230
 ar-b   | Buenos Aires                                    |                1 | Buenos Aires                                                     | Q44754    | r1632167
 ar-c   | Autonomous City of Buenos Aires                 |                1 | Ciudad Autónoma de Buenos Aires                                  | Q1486     | r3082668
 ar-d   |                                                 |                1 | San Luis                                                         | Q44818    | r153538
 ar-e   | Entre Ríos Province                             |                1 | Entre Ríos                                                       | Q44762    | r153551
 ar-f   |                                                 |                1 | La Rioja                                                         | Q44796    | r153536
 ar-g   |                                                 |                1 | Santiago del Estero                                              | Q44827    | r153544
 ar-h   |                                                 |                1 | Chaco                                                            | Q44757    | r153554
 ar-j   |                                                 |                1 | San Juan                                                         | Q44805    | r153539
 ar-k   |                                                 |                1 | Catamarca                                                        | Q44756    | r153545
 ar-l   |                                                 |                1 | La Pampa                                                         | Q44795    | r153541
 ar-m   |                                                 |                1 | Mendoza                                                          | Q44797    | r153540
 ar-n   |                                                 |                1 | Misiones                                                         | Q44798    | r153553
 ar-p   |                                                 |                1 | Formosa                                                          | Q44761    | r2849847
 ar-q   | Neuquén Province                                |                1 | Neuquén                                                          | Q44800    | r1606727
 ar-r   | Río Negro Province                              |                1 | Río Negro                                                        | Q44802    | r153547
 ar-s   |                                                 |                1 | Santa Fe                                                         | Q44823    | r153543
 ar-t   |                                                 |                1 | Tucumán                                                          | Q44829    | r153558
 ar-u   |                                                 |                1 | Chubut                                                           | Q45007    | r153548
 ar-v   | Tierra del Fuego Province                       |                1 | Tierra del Fuego                                                 | Q44832    | r153550
 ar-w   |                                                 |                1 | Corrientes                                                       | Q44758    | r153552
 ar-x   | Córdoba                                         |                1 | Córdoba                                                          | Q44759    | r3592494
 ar-y   |                                                 |                1 | Jujuy                                                            | Q44764    | r153556
 ar-z   | Santa Cruz Province, Argentina                  |                1 | Santa Cruz                                                       | Q44821    | r153549
 bo     | Bolivia                                         |                1 | Bolivia                                                          | Q750      | r252645
 bo-b   |                                                 |                1 | El Beni                                                          | Q233169   | r405935
 bo-c   |                                                 |                1 | Cochabamba                                                       | Q233917   | r393562
 bo-h   |                                                 |                1 | Chuquisaca                                                       | Q235110   | r396197
 bo-l   |                                                 |                1 | La Paz                                                           | Q272784   | r400473
 bo-n   |                                                 |                1 | Pando                                                            | Q235362   | r3358584
 bo-o   |                                                 |                1 | Oruro                                                            | Q1061368  | r395910
 bo-p   |                                                 |                1 | Potosí                                                           | Q238079   | r4509552
 bo-s   |                                                 |                1 | Santa Cruz                                                       | Q235106   | r3360565
 bo-t   |                                                 |                1 | Tarija                                                           | Q233933   | r396198
 br     | Brazil                                          |                1 | Brasil                                                           | Q155      | r59470
 br-ac  | Acre                                            |                1 | Acre                                                             | Q40780    | r326266
 br-al  | Alagoas                                         |                1 | Alagoas                                                          | Q40885    | r303781
 br-am  | Amazonas                                        |                1 | Amazonas                                                         | Q40040    | r332476
 br-ap  | Amapá                                           |                1 | Amapá                                                            | Q40130    | r331463
 br-ba  | Bahia                                           |                1 | Bahia                                                            | Q40430    | r362413
 br-ce  | Ceará                                           |                1 | Ceará                                                            | Q40123    | r302635
 br-df  | Federal District                                |                1 | Distrito Federal                                                 | Q119158   | r421151
 br-es  | Espírito Santo                                  |                1 | Espírito Santo                                                   | Q43233    | r54882
 br-go  | Goiás                                           |                1 | Goiás                                                            | Q41587    | r334443
 br-ma  | Maranhão                                        |                1 | Maranhão                                                         | Q42362    | r332924
 br-mg  | Minas Gerais                                    |                1 | Minas Gerais                                                     | Q39109    | r315173
 br-ms  | Mato Grosso do Sul                              |                1 | Mato Grosso do Sul                                               | Q43319    | r334051
 br-mt  | Mato Grosso                                     |                1 | Mato Grosso                                                      | Q42824    | r333597
 br-pa  | Pará                                            |                1 | Pará                                                             | Q39517    | r185579
 br-pb  | Paraíba                                         |                1 | Paraíba                                                          | Q38088    | r301464
 br-pe  | Pernambuco                                      |                1 | Pernambuco                                                       | Q40942    | r303702
 br-pi  | Piauí                                           |                1 | Piauí                                                            | Q42722    | r302819
 br-pr  | Paraná                                          |                1 | Paraná                                                           | Q15499    | r297640
 br-rj  | Rio de Janeiro                                  |                1 | Rio de Janeiro                                                   | Q41428    | r57963
 br-rn  | Rio Grande do Norte                             |                1 | Rio Grande do Norte                                              | Q43255    | r301079
 br-ro  | Rondônia                                        |                1 | Rondônia                                                         | Q43235    | r325866
 br-rr  | Roraima                                         |                1 | Roraima                                                          | Q42508    | r326287
 br-rs  | Rio Grande do Sul                               |                1 | Rio Grande do Sul                                                | Q40030    | r242620
 br-sc  | Santa Catarina                                  |                1 | Santa Catarina                                                   | Q41115    | r296584
 br-se  | Sergipe                                         |                1 | Sergipe                                                          | Q43783    | r303940
 br-sp  | São Paulo                                       |                1 | São Paulo                                                        | Q175      | r298204
 br-to  | Tocantins                                       |                1 | Tocantins                                                        | Q43695    | r336819
 ck     | Cook Islands                                    |                1 | Kūki 'Āirani                                                     | Q26988    | r2184233
 cl     | Chile                                           |                1 | Chile                                                            | Q298      | r167454
 cl-ai  |                                                 |                1 | Región Aysén del General Carlos Ibáñez del Campo                 | Q2181     | r305693
 cl-an  |                                                 |                1 | Región de Antofagasta                                            | Q2118     | r240932
 cl-ap  |                                                 |                1 | Región de Arica y Parinacota                                     | Q2109     | r238392
 cl-ar  |                                                 |                1 | Región de la Araucanía                                           | Q2176     | r296378
 cl-at  |                                                 |                1 | Región de Atacama                                                | Q2120     | r271889
 cl-bi  |                                                 |                1 | Región del Biobío                                                | Q2170     | r252891
 cl-co  |                                                 |                1 | Región de Coquimbo                                               | Q2121     | r231672
 cl-li  |                                                 |                1 | Región del Libertador General Bernardo O'Higgins                 | Q2133     | r206487
 cl-ll  |                                                 |                1 | Región de Los Lagos                                              | Q2178     | r274991
 cl-lr  |                                                 |                1 | Región de Los Ríos                                               | Q2177     | r274988
 cl-ma  | XII Region of Magallanes and Chilean Antarctica |                1 | Región de Magallanes y de la Antártica Chilena                   | Q2189     | r301542
 cl-ml  |                                                 |                1 | Región del Maule                                                 | Q2166     | r239882
 cl-nb  |                                                 |                1 | Región de Ñuble                                                  | Q24076693 | r7421025
 cl-rm  |                                                 |                1 | Región Metropolitana de Santiago                                 | Q2131     | r198848
 cl-ta  |                                                 |                1 | Región de Tarapacá                                               | Q2114     | r238393
 cl-vs  |                                                 |                1 | Región de Valparaíso                                             | Q219458   | r198847
 co     | Colombia                                        |                1 | Colombia                                                         | Q739      | r120027
 co-ama | Amazonas                                        |                1 | Amazonas                                                         | Q44724    | r1303962
 co-ant |                                                 |                1 | Antioquia                                                        | Q123304   | r1315120
 co-ara |                                                 |                1 | Arauca                                                           | Q230223   | r1388045
 co-atl |                                                 |                1 | Atlántico                                                        | Q230882   | r1315209
 co-bol |                                                 |                1 | Bolívar                                                          | Q230597   | r1316581
 co-boy |                                                 |                1 | Boyacá                                                           | Q121233   | r1390144
 co-cal | Caldas                                          |                1 | Caldas                                                           | Q230607   | r396705
 co-caq |                                                 |                1 | Caquetá                                                          | Q13985    | r1394843
 co-cas |                                                 |                1 | Casanare                                                         | Q13984    | r1392025
 co-cau |                                                 |                1 | Cauca                                                            | Q230602   | r1392085
 co-ces |                                                 |                1 | Cesar                                                            | Q234916   | r1317223
 co-cho |                                                 |                1 | Chocó                                                            | Q230584   | r1322131
 co-cor |                                                 |                1 | Córdoba                                                          | Q234912   | r1321032
 co-cun |                                                 |                1 | Cundinamarca                                                     | Q232564   | r1305533
 co-dc  | Bogota Capital District                         |                1 | Distrito Capital                                                 | Q2841     | r1387968
 co-gua |                                                 |                1 | Guainía                                                          | Q238645   | r1385038
 co-guv |                                                 |                1 | Guaviare                                                         | Q272885   | r1380540
 co-hui |                                                 |                1 | Huila                                                            | Q234920   | r1396291
 co-lag |                                                 |                1 | La Guajira                                                       | Q272747   | r1321379
 co-mag |                                                 |                1 | Magdalena                                                        | Q199910   | r1319097
